Index,Variant,country,Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
1,Estimates,WORLD,,900,World,0,4.97,4.90,5.02,4.93,4.47,3.86,3.59,3.44,3.01,2.78,2.65,2.58,2.52,2.47
3,Estimates,More developed regions,b,901,Development Group,1803,2.82,2.79,2.66,2.38,2.16,1.92,1.84,1.81,1.67,1.57,1.58,1.68,1.67,1.64
4,Estimates,Less developed regions,c,902,Development Group,1803,6.08,5.94,6.13,6.04,5.41,4.58,4.16,3.90,3.34,3.04,2.87,2.75,2.66,2.59
5,Estimates,Least developed countries,d,941,Development Group,902,6.53,6.60,6.70,6.76,6.75,6.67,6.53,6.17,5.75,5.38,5.00,4.65,4.31,4.00
6,Estimates,"Less developed regions, excluding least developed countries",e,934,Development Group,902,6.02,5.85,6.05,5.95,5.23,4.31,3.87,3.63,3.04,2.74,2.57,2.46,2.38,2.33
7,Estimates,"Less developed regions, excluding China",,948,Development Group,1803,6.06,6.14,6.13,5.97,5.67,5.27,4.92,4.46,4.01,3.64,3.36,3.15,2.97,2.84
8,Estimates,Land-locked Developing Countries (LLDC),f,1636,Special other,1803,6.22,6.31,6.41,6.28,6.24,6.13,6.04,5.89,5.55,5.22,4.88,4.63,4.33,3.98
9,Estimates,Small Island Developing States (SIDS),g,1637,Special other,1803,5.55,5.51,5.65,5.11,4.53,3.86,3.63,3.36,3.10,2.93,2.78,2.65,2.55,2.45
11,Estimates,High-income countries,h,1503,Income Group,1802,2.99,3.01,2.94,2.65,2.34,2.06,1.94,1.85,1.82,1.73,1.71,1.76,1.72,1.67
12,Estimates,Middle-income countries,h,1517,Income Group,1802,5.68,5.53,5.70,5.63,5.04,4.24,3.85,3.63,3.04,2.74,2.57,2.47,2.39,2.35
13,Estimates,Upper-middle-income countries,h,1502,Income Group,1517,5.57,5.21,5.54,5.50,4.59,3.41,2.98,2.95,2.22,1.96,1.85,1.83,1.87,1.90
14,Estimates,Lower-middle-income countries,h,1501,Income Group,1517,5.82,5.90,5.90,5.80,5.59,5.23,4.91,4.46,4.01,3.62,3.33,3.09,2.86,2.71
15,Estimates,Low-income countries,h,1500,Income Group,1802,6.42,6.57,6.54,6.66,6.68,6.61,6.60,6.45,6.20,5.93,5.61,5.29,4.91,4.52
16,Estimates,No income group available,,1518,Income Group,1802,6.10,6.04,5.97,5.46,4.36,3.53,3.07,2.96,2.68,2.60,2.62,2.61,2.58,2.49
18,Estimates,Africa,j,903,Region,1840,6.57,6.62,6.70,6.71,6.70,6.64,6.50,6.19,5.72,5.35,5.08,4.90,4.73,4.44
19,Estimates,Asia,k,935,Region,1840,5.83,5.59,5.80,5.75,5.06,4.10,3.69,3.50,2.90,2.61,2.45,2.33,2.21,2.15
20,Estimates,Europe,l,908,Region,1840,2.66,2.66,2.57,2.37,2.17,1.98,1.88,1.81,1.57,1.43,1.43,1.56,1.60,1.61
21,Estimates,Latin America and the Caribbean,m,904,Region,1840,5.83,5.85,5.83,5.46,4.92,4.44,3.94,3.45,3.08,2.77,2.49,2.26,2.14,2.04
