地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京,,7.8,8.2,8.5,8.9,10.4,11,11.7,,
天津,,10.7,12.2,13.1,13.6,16,16.6,18,,
河北,,35.5,47.6,55,62.5,72.8,77.3,88.1,,
山西,,46,53.1,59.9,72.6,85,89,91.7,,
内蒙古,,43,49.1,60.3,70.6,78.4,80.8,84.8,,
辽宁,,53.8,62,71.8,80.2,96.1,107,118.6,,
吉林,,59.2,67.8,72.5,75.9,85,90.5,115.6,,
黑龙江,,95.4,111.1,120,127.3,143.8,152.4,155.6,,
上海,,15.7,16.8,17.6,18.7,20.5,22.3,32.4,,
江苏,,20.5,24.8,28,30.7,33.8,37,40.9,,
浙江,,22.2,10.9,7.3,6.4,7.2,7.8,8.8,,
安徽,,47.9,54.4,64.7,72.4,78.3,81.9,84.2,,
福建,,6.8,8.6,12.9,14.7,15.8,16.9,18.1,,
江西,,83.3,89.6,92.4,98.3,97.8,98,98.1,,
山东,,23.8,30.9,37.2,44.6,48.7,53,60.6,,
河南,,67.8,82.1,107.9,118.9,131,133.4,141.9,,
湖北,,45.9,55.3,84.6,107.1,125.9,129.5,137.2,,
湖南,,76.7,111.8,127.2,134,143.5,145.6,145.1,,
广东,,22.8,25.5,29.7,31.6,34,37.2,40,,
广西,,19.1,22.6,38.5,44.8,49.4,51.5,57.3,,
海南,,6.3,7.5,8.4,11.1,14.5,15.7,17.1,,
重庆,,34,34.8,37.5,41,45.8,51.5,56.9,,
四川,,118.4,134.5,156.4,173.4,183.6,186.4,189.3,,
贵州,,31.5,35.8,40.2,47.6,51.3,53,54.3,,
云南,,70.9,89.7,98.1,100.9,104.1,93.6,93.1,,
西藏,,3.3,3.6,4.6,4.7,5,4.8,4.3,,
陕西,,30.6,42.1,50.9,57.8,67.1,74.7,84.6,,
甘肃,,65.1,70,76.2,81.4,87.5,88.3,88.1,,
青海,,13.4,16.3,17.6,20.3,22.5,23,23.5,,
宁夏,,10.8,14.6,15.4,16.8,18,18.2,20.8,,
新疆,,72.9,87,86.5,88.1,91.7,95.5,96,,
